Data da Venda,Produto,Quantidade,Preço,Região,Vendedor,Total de Vendas
2024-09-08,serious,27,243,East Georgeshire,Sarah Harris,6561
2024-02-27,return,44,74,Christopherberg,Johnny Hughes,3256
2024-08-16,soldier,18,75,Stewartchester,Megan Reynolds,1350
2024-01-02,product,28,62,Lake Manuelbury,Grace King,1736
2024-09-30,offer,47,394,Clayview,Loretta Richardson,18518
2024-07-25,thank,24,178,Port Todd,Angela Lynch,4272
2024-06-09,save,17,35,Riveratown,Jennifer Nelson,595
2024-01-09,several,19,433,Lake Evelynville,Joshua Lopez,8227
2024-05-27,attorney,81,427,Thomashaven,Nancy Hernandez,34587
2024-10-09,dark,64,228,Lisatown,Scott Anderson,14592
2024-03-06,less,36,82,South Walterbury,Jill Gonzalez,2952
2024-04-06,catch,40,485,South Katherineton,Jackie Martin,19400
2024-06-06,eat,94,333,South Stephenmouth,Michele Thompson,31302
2024-06-21,discuss,100,261,West Scott,Emma Burns,26100
2024-09-26,soldier,38,435,Russoport,Shawn Benton,16530
2024-04-07,power,17,266,North Jennifer,Kent Brooks,4522
2024-08-14,reach,16,19,New Samantha,Jeffrey Bush,304
2024-07-25,save,43,469,Martinport,Raymond Valencia,20167
2024-04-02,people,17,394,Lewisfort,Diane Perry,6698
2024-05-17,into,30,12,North Stephanieborough,Joshua Hunt,360
2024-03-10,even,6,249,Cabreramouth,William Smith,1494
2024-05-24,owner,70,119,Gonzalezmouth,Juan Ruiz,8330
2024-04-19,instead,42,455,South Pamela,David Burnett,19110
2024-06-09,recognize,10,265,Lake Erin,Brittany Howe,2650
2024-03-22,citizen,55,41,Port Margarethaven,Regina Rosales,2255
2024-02-05,record,56,265,Sarahmouth,Russell Mitchell,14840
2024-05-23,set,83,110,Jessicahaven,Patrick Myers,9130
2024-03-27,pretty,45,458,Hugheschester,David Preston,20610
2024-01-04,group,44,28,Perezmouth,Nicholas Klein,1232
2024-09-26,travel,1,209,New Patrick,Charles Green,209
2024-06-14,offer,58,181,Port Joshuaport,Elizabeth Williams PhD,10498
2024-03-02,amount,21,81,New Jasontown,Heather Crosby,1701
2024-03-31,after,3,22,Brownbury,Antonio Poole,66
2024-09-21,likely,77,183,Lesliefort,Christopher Mayo,14091
2024-08-05,leave,58,184,Hudsonside,Justin Perry,10672
2024-10-07,phone,8,286,Port Wendy,Tonya Hopkins,2288
2024-07-11,level,74,401,Chaseside,Andrew Harris,29674
2024-07-09,under,26,64,South Caitlin,Molly Silva,1664
2024-01-02,continue,81,317,New David,Jenny Hoffman,25677
2024-05-17,begin,25,396,Scottbury,Richard Small,9900
2024-09-01,seven,69,73,East Jamie,Angela Guzman,5037
2024-08-23,such,5,48,Drakehaven,Diana Brown,240
2024-05-20,claim,72,60,South Alan,Jose Lopez,4320
2024-06-25,care,70,148,New Brenda,Gina Arnold,10360
2024-06-15,with,69,294,North Yolandatown,Gary Hess,20286
2024-04-16,wish,23,265,Brittanyshire,Nicole Higgins,6095
2024-02-16,may,46,107,South Evan,Eugene Lindsey,4922
2024-08-24,father,2,333,West Zachary,Christopher Moore,666
2024-06-07,machine,78,324,Lake Mark,Karen Owen,25272
2024-10-13,lot,31,66,Barrymouth,Ian Smith,2046
2024-06-03,anyone,38,365,Hunterfort,Allison Simpson,13870
2024-08-12,view,88,414,Tracyborough,Wesley Dillon,36432
2024-06-10,in,7,309,Brownview,William Robinson,2163
2024-08-18,moment,8,39,New Danielport,Candice Soto,312
2024-06-11,including,40,136,Lake Rachelhaven,Christopher Miller,5440
2024-08-03,blue,83,315,Bradleyville,Jason Jones,26145
2024-10-12,research,81,495,Megantown,Jeffrey Palmer,40095
2024-06-25,organization,58,22,Pattyshire,Justin Dawson,1276
2024-09-19,subject,43,283,West Sharonborough,Walter Ramsey,12169
2024-09-09,difference,40,177,North Jenniferside,Gary Kerr,7080
2024-07-11,hand,86,165,New Carlton,Melissa Clark,14190
2024-03-02,country,10,122,South Johnchester,Stephen Mueller,1220
2024-04-30,better,78,209,East Natalie,Walter Gray,16302
2024-09-22,growth,67,153,North Thomas,Sara Conrad,10251
2024-05-25,them,100,259,South Kevintown,Tracy Ramirez,25900
2024-03-15,small,94,211,Lake Wesleybury,Gwendolyn Murphy,19834
2024-07-14,situation,44,230,West Kaylachester,John Young,10120
2024-06-04,miss,48,197,New Marystad,Joseph Ellison,9456
2024-04-04,get,12,473,South Ronald,David Compton,5676
2024-03-18,piece,100,427,Millershire,Elizabeth Peters MD,42700
2024-03-20,forward,34,47,West Martinbury,Michael Brooks III,1598
2024-07-28,catch,88,424,Wyattstad,Robert Robinson,37312
2024-03-08,public,63,104,Madisonhaven,James Mahoney,6552
2024-10-09,record,40,98,South Virginia,Susan Garcia,3920
2024-02-19,gun,71,175,Sandraborough,Rita Jackson,12425
2024-05-10,enough,11,162,North Williamton,Jeanette Ramos,1782
2024-06-05,line,9,285,Osbornburgh,Ryan Ward,2565
2024-10-13,outside,57,398,Christinaport,Brittany Cohen,22686
2024-04-08,onto,95,471,Marcoborough,Tracy Harris,44745
2024-06-02,white,59,182,Anthonyland,Aaron Smith,10738
2024-01-19,wear,38,369,North Julianshire,Todd Meza,14022
2024-05-19,lose,25,453,West Stephenburgh,Scott Smith,11325
2024-02-11,and,74,81,South Corey,Johnny Ellis,5994
2024-05-05,nor,75,179,Lake Kyle,Yolanda Payne,13425
2024-09-30,significant,29,199,North Debbie,Donna Garcia,5771
2024-06-13,buy,87,474,South Richardfurt,Emma Arnold,41238
2024-01-13,themselves,45,207,Stewartbury,Mr. Sean Kemp MD,9315
2024-06-02,and,66,319,Lake Markview,Corey Morris,21054
2024-03-30,enter,6,213,Angelfurt,Lisa Kelly,1278
2024-07-08,third,36,468,Lake Michaelberg,Anne Cook,16848
2024-06-01,pattern,80,61,East Kelly,Benjamin Cooper,4880
2024-06-15,company,69,188,Pottsborough,Monique Orozco,12972
2024-05-24,decide,30,83,Andrewview,Sarah Anderson DDS,2490
2024-04-22,foot,61,319,Jennatown,Hayley Humphrey,19459
2024-05-29,matter,37,281,East Amy,Steven Oconnor,10397
2024-01-26,move,40,472,North Martin,Hannah Johnson,18880
2024-07-31,hotel,1,110,North Alexandershire,Stephanie Sanchez,110
2024-07-12,address,39,376,Simpsonborough,Dr. Michelle Simmons MD,14664
2024-07-24,property,12,467,Lawrencefurt,Caitlin Brown,5604
2024-01-20,may,83,193,Burnettstad,Scott Neal,16019
2024-07-17,cut,79,148,North Tinamouth,Joshua Wilson,11692
2024-03-29,word,73,115,North Nicolehaven,Nicholas Miller,8395
2024-06-05,series,75,143,New Robert,Kimberly Jenkins,10725
2024-03-31,city,35,394,South Lawrencetown,Kathleen Schmidt,13790
2024-01-28,pretty,72,112,East Fernando,Meghan Welch,8064
2024-04-02,stand,22,435,Simmonsshire,Rebecca Ball,9570
2024-05-01,loss,1,179,Davidfort,Dr. Laura Morris,179
2024-02-04,rock,99,83,Lake Omar,Adriana Powers,8217
2024-09-20,land,12,136,South Dustin,Lauren Adams,1632
2024-07-29,fly,51,46,East Austin,Lance Young,2346
2024-07-24,day,12,64,Reynoldsville,Brittany Garrison,768
2024-03-10,worker,4,135,Murphyport,Dale Alvarado,540
2024-07-12,push,34,164,Lake Richardborough,Patrick Cherry,5576
2024-07-27,artist,100,210,Port Roberthaven,Linda Farrell,21000
2024-05-21,possible,60,236,Christinatown,Keith Moore,14160
2024-07-25,father,94,323,Saraborough,Reginald Baldwin,30362
2024-02-03,store,78,226,East Nathanfurt,Jennifer Stewart,17628
2024-10-08,of,98,255,North Jasminemouth,Erika Chen,24990
2024-04-07,try,41,430,Lake Matthewfort,Jocelyn Erickson,17630
2024-09-22,exist,85,420,Claytonchester,Eric Simmons,35700
2024-02-20,amount,34,400,Robertside,Paula Holmes,13600
2024-01-18,field,35,371,Yolandatown,Angie Smith,12985
2024-05-22,already,15,395,Sarahtown,Andrew Gonzalez,5925
2024-05-27,avoid,76,410,Schwartzborough,Karen Brown,31160
2024-05-09,too,20,394,Lake William,Kelly Thompson,7880
2024-09-10,dream,96,241,North Brandiview,Jennifer Gray,23136
2024-06-16,couple,59,465,Joshuaport,Kelli Kaufman MD,27435
2024-08-01,together,91,175,Gibsonland,Michelle Tate,15925
2024-02-17,live,26,120,South Tommy,Bryan Adams,3120
2024-07-15,thus,22,101,Jefferyview,Kyle Sanchez,2222
2024-04-14,religious,36,406,Padillahaven,Elizabeth Sims,14616
2024-07-07,safe,35,343,East Mark,Russell Gonzalez,12005
2024-08-03,certain,2,343,East Williamside,Kenneth Martinez,686
2024-06-03,relationship,49,109,Villegashaven,Laura Higgins,5341
2024-10-04,lawyer,50,132,Youngland,Selena Alexander,6600
2024-04-20,four,38,409,Lake Codyhaven,Steven Carey,15542
2024-01-19,live,92,341,South Troy,Kimberly Burke,31372
2024-08-24,usually,60,357,Nicholasview,Sarah Skinner,21420
2024-09-12,soon,95,486,Port Valerie,Thomas Montoya,46170
2024-05-27,entire,8,83,Lake Daltonshire,Michael Hall,664
2024-01-21,him,74,97,Benjaminfort,Emily Larsen,7178
2024-05-11,could,89,167,Taylorstad,Jessica Charles,14863
2024-02-01,scientist,75,102,Aprilfort,Nicholas Sandoval,7650
2024-03-22,through,52,154,Fergusonport,Jose Ortiz,8008
2024-01-31,year,9,58,Williamsmouth,Laura Turner,522
2024-04-27,attorney,97,179,East Timton,Derrick Jones,17363
2024-04-11,who,16,261,Baileyton,James Jones,4176
2024-01-22,rock,66,141,Jeanneville,Sandra Gray,9306
2024-01-23,body,83,375,North Meaganburgh,Eduardo Wall,31125
2024-02-01,speech,64,48,South Ianton,Michael Turner,3072
2024-09-25,project,30,281,North Alexis,Paul Hopkins,8430
2024-09-04,smile,38,365,Hintonmouth,Brianna Johnson,13870
2024-01-01,answer,6,261,Harrismouth,Caroline Lee MD,1566
2024-10-09,those,7,307,West Nicholas,Suzanne Parker,2149
2024-07-06,report,7,431,Port Joel,Amanda Stark,3017
2024-01-24,guy,75,113,Brandihaven,Tara Galloway,8475
2024-05-31,wonder,84,491,East Marcuschester,Kelly Perry,41244
2024-03-19,tough,37,281,Port Patrickport,Daniel Washington,10397
2024-09-19,ahead,14,407,New Jacobberg,Dr. Regina Barnes,5698
2024-04-29,worker,95,33,Port Marcus,Nancy Lee,3135
2024-03-24,theory,61,164,East Dwayneburgh,Katherine Melendez,10004
2024-04-21,such,73,454,South Rodney,Amy Miller,33142
2024-05-18,box,40,134,Davidstad,Margaret Hoffman,5360
2024-05-25,fund,33,438,New Timothybury,Wendy Daniels,14454
2024-04-26,rate,70,165,New Stephaniestad,Dawn Ewing,11550
2024-04-26,item,24,268,Manningborough,James Reed,6432
2024-08-02,free,35,258,Rodriguezstad,Kimberly Solomon,9030
2024-05-20,woman,76,201,Port Crystal,Sarah Hutchinson,15276
2024-02-29,least,33,331,New Elaineside,Heather Munoz,10923
2024-10-12,speech,74,402,Port Susan,Anne Knapp,29748
2024-04-10,tax,31,19,Carrollview,Shannon Burgess,589
2024-04-06,family,25,365,Rogersstad,Martin Wiggins,9125
2024-01-29,describe,78,358,Lake Christopher,Sean Winters,27924
2024-09-30,avoid,23,273,Tinaberg,Laura Becker,6279
2024-09-05,school,75,288,Hawkinsview,Ronnie Walker,21600
2024-05-15,wait,12,404,South Tina,Patricia Bowen,4848
2024-09-09,two,52,337,New Brittany,Shannon Barrett,17524
2024-10-15,car,7,79,South Andrew,Amy Hanson,553
2024-06-12,general,68,404,New Christinaland,William Owen,27472
2024-03-25,away,65,470,East Taylor,Tina Howard,30550
2024-01-20,participant,34,447,East Brittneybury,Ashley Jones DDS,15198
2024-10-14,thank,54,32,West Matthew,Dr. Diane Love,1728
2024-09-01,move,23,275,Lawrencemouth,Amy Johnson,6325
2024-01-13,follow,84,194,East Brittany,Timothy Roth,16296
2024-09-29,although,69,48,South Brianaport,Jill Gonzalez,3312
2024-04-27,final,67,49,Christinemouth,Andrew Ross,3283
2024-04-20,national,28,183,Jacksonfort,Thomas Rodriguez,5124
2024-10-09,their,88,73,Port Jermaine,Jorge Thornton,6424
2024-04-03,affect,85,432,Port Crystal,Thomas Patel,36720
2024-09-27,toward,80,437,Lake Jessicafort,Amber Olsen,34960
2024-09-13,human,99,327,Thomasside,Rachel Garcia,32373
2024-04-04,small,31,94,Paulburgh,Holly Schaefer,2914
2024-07-17,behind,91,408,Floresborough,Monica Moore,37128
2024-06-22,personal,13,433,South Tommy,Christina Jones,5629
2024-09-09,yet,65,272,North Jamestown,Erin Johnson,17680
2024-04-21,year,68,295,Seanville,Melinda Bailey,20060
2024-09-05,history,68,403,Leonstad,Elizabeth White,27404
2024-06-28,another,52,200,North Amymouth,Samuel Martinez,10400
2024-07-05,information,87,315,Lake Marissa,Michelle Lawrence,27405
2024-07-27,behind,91,500,Angelmouth,Kevin Mccoy,45500
2024-09-14,able,39,323,West Sandrastad,Denise Mills,12597
2024-02-04,expert,91,304,Walkershire,Pamela Griffin,27664
2024-02-26,begin,85,271,West Roberta,Mark Rush,23035
2024-08-01,lawyer,79,500,West Amanda,Rebecca Baird,39500
2024-08-14,officer,81,183,Lake Christine,Michael Wallace,14823
2024-01-16,plant,54,483,Hollandburgh,John Phillips,26082
2024-08-28,forget,43,108,Jesusland,Jordan Jacobs,4644
2024-08-31,serve,99,347,South Justinbury,Jeffrey Johnson,34353
2024-02-03,allow,38,44,Chadview,Mr. Marc Mcgee,1672
2024-10-09,scientist,1,167,West Jeromefort,Nicholas Guzman,167
2024-05-01,stuff,80,206,Ballardside,Ashley Edwards,16480
2024-08-21,drive,43,152,New Margaretport,Victoria Russell,6536
2024-07-20,time,82,465,West Ericaland,Daniel Hahn,38130
2024-06-04,activity,66,275,New Gabrielfurt,Kelly Lawson,18150
2024-07-10,total,26,112,Larryfort,Carl Nelson,2912
2024-04-08,yourself,60,410,North Andrea,Cheryl Morgan,24600
2024-10-11,sure,22,111,Heatherstad,Jennifer Sweeney,2442
2024-07-05,point,26,392,Lake Ryan,Victoria Shaffer,10192
2024-01-08,network,2,200,Donbury,John Hodges,400
2024-09-17,no,83,175,Oliviahaven,Sheri Ward,14525
2024-05-16,hand,71,41,Martinezview,Kimberly Edwards,2911
2024-01-12,light,29,283,Anaborough,Dorothy Simon,8207
2024-06-17,particularly,90,216,Shermanville,Sabrina Hart,19440
2024-04-04,guy,62,461,Hillfurt,Ryan Willis,28582
2024-06-04,case,60,352,East Raymond,Jennifer Young,21120
2024-06-11,institution,97,304,South Marymouth,Danielle Chandler,29488
2024-10-03,head,85,439,Bushhaven,Mark Lee,37315
2024-07-15,plant,63,361,Lake Christopher,Jason Foster,22743
2024-01-22,else,77,369,West Kimberlyberg,Stephanie Jackson,28413
2024-04-29,yes,33,211,Lake Christinaborough,Julie Murphy,6963
2024-04-22,summer,27,239,Joshuafort,Tyler Lee,6453
2024-06-27,industry,80,137,Port Derrick,Wanda Cobb,10960
2024-07-03,design,20,461,East Jamie,William Fisher,9220
2024-04-18,however,67,93,New Jamesside,Kaylee Kim,6231
2024-10-15,part,62,280,South Rebeccaborough,Christopher Howard,17360
2024-09-22,drug,39,161,Lake Tammybury,Kelly Rojas,6279
2024-07-02,role,3,257,South Peterchester,Carolyn Bennett,771
2024-06-27,let,71,300,East Nancystad,Allison Hall,21300
2024-01-25,cause,45,361,South Laurabury,Sean Sexton,16245
2024-02-10,commercial,80,424,Port Tylerhaven,Jeffrey Matthews,33920
2024-07-14,member,66,38,Port Laurietown,Theresa Howard,2508
2024-03-21,answer,93,408,East Chelseashire,Arthur Jenkins,37944
2024-01-08,nor,90,55,North Adrienne,Sandra Craig,4950
2024-08-03,full,94,308,East Scott,Monica Hill,28952
2024-02-14,seven,23,105,East Marie,Margaret Haynes,2415
2024-04-12,who,4,21,Port Caitlintown,Lindsay Garcia,84
2024-01-01,clear,100,247,Nicolebury,Beth Rowe,24700
2024-04-24,relationship,62,189,Maciasfort,Dana Wright,11718
2024-07-26,decade,61,324,East Aimeetown,Sharon Vasquez,19764
2024-06-28,south,29,443,West Jacobton,Brenda Burnett,12847
2024-06-18,long,3,26,New Shawnfort,Andrea Parsons,78
2024-08-30,state,70,39,West Gabrielmouth,James Johnson,2730
2024-06-22,small,54,45,West Stephen,Monica Castro,2430
2024-01-10,south,41,241,West Kevin,Adam Davis,9881
2024-09-09,sound,31,244,West Timothy,Sarah Garrett,7564
2024-09-14,those,63,168,New Benjaminville,Daniel Patel,10584
2024-10-09,area,33,11,Austinport,Zachary Macias,363
2024-03-10,whose,52,230,Dustinland,Briana Wells,11960
2024-01-13,find,60,120,Patriciaton,Christopher Henry,7200
2024-08-09,TV,62,16,South Jamesberg,Denise Larson,992
2024-08-09,there,20,419,North Matthewborough,Dr. Shane Oliver,8380
2024-07-12,role,50,262,Lake Michele,Emma Stone,13100
2024-05-20,compare,82,84,Mirandaland,Anthony Freeman,6888
2024-07-30,Republican,10,151,East William,Jacob Wood,1510
2024-03-08,around,15,244,South Nicole,Mason Daniels,3660
2024-04-18,part,38,118,Huntershire,Kim Garcia,4484
2024-09-01,laugh,61,343,East Sabrinastad,Alexander Hensley,20923
2024-04-24,firm,3,135,Lake Sandrahaven,Ian Anderson,405
2024-02-23,election,88,370,Jenniferfurt,Samantha Alvarez,32560
2024-03-07,wind,100,105,New Brian,Keith Sanchez,10500
2024-06-18,manager,15,261,Waltonfurt,Shannon Cortez,3915
2024-05-08,listen,95,136,Justinburgh,Brian Carter,12920
2024-05-30,few,18,251,Michelleville,Allison Tran,4518
2024-09-21,tend,59,172,Lisaland,Robert Hahn,10148
2024-09-20,front,97,306,Michaelmouth,Adam Mejia,29682
2024-02-09,site,19,133,Charlesburgh,Rachel Sullivan,2527
2024-03-13,eight,38,359,Lake James,Dr. Craig Strong,13642
