Data da Venda,Produto,Quantidade,Preço,Região,Vendedor
2024-01-31,remain,73,326,Buchananmouth,Sabrina Gillespie
2024-03-22,teacher,34,150,Lake Marcus,Willie Roberts
2024-03-02,once,26,212,Hornchester,Wanda Moran
2024-01-11,drug,42,28,North Anthonyton,James Clark
2024-01-24,environmental,76,463,Jeanneton,Cassandra Anderson
2024-05-01,teach,98,418,Lorettaborough,Laura Cook
2024-10-07,crime,91,186,East Jamesside,Ivan Ingram
2024-01-06,world,70,134,West Stacy,Joseph Moore
2024-05-21,act,94,269,Juanchester,Ashley Vargas
2024-02-07,career,47,48,West Francis,Christina Clark
2024-07-27,visit,95,398,Mccormickmouth,Michelle Yang
2024-02-04,occur,84,55,East Gailville,Andrea Bell
2024-01-12,itself,93,485,Olsonfurt,Victoria Powell
2024-03-05,cause,58,320,Whitefort,Carol Thompson
2024-01-06,eat,86,315,North Robertburgh,James Moses
2024-01-13,area,49,310,Mossport,Claire Duran
2024-08-31,create,8,73,Ralphmouth,Paul Chandler
2024-10-05,everybody,53,360,Hannahville,Holly Alexander
2024-05-03,right,65,294,Cynthiachester,Patrick Pope
2024-01-03,think,32,63,West Markburgh,Kristopher Clark
2024-07-29,allow,25,23,West Matthew,Veronica Strong
2024-07-12,would,80,62,South Michelle,Rodney Fernandez
2024-02-04,training,67,106,Jenniferland,Jennifer Harrison
2024-08-30,successful,4,320,Clarkside,Timothy Joyce
2024-07-30,clear,3,107,Port Katiestad,Hannah Oliver
2024-06-12,late,94,310,Loristad,Jessica Walker
2024-02-08,you,95,396,Port Seth,Andrew Miller
2024-03-10,strong,8,362,Sandersshire,Carolyn Trujillo
2024-05-17,right,10,60,North Paulamouth,Michael Keller
2024-09-12,thought,97,321,New Andrea,Eddie Mcdonald
2024-09-05,development,56,302,Lake Davidland,Leslie Gardner
2024-07-30,create,70,295,Davidport,Lisa Watson
2024-04-24,that,91,241,Scottmouth,Lisa Vega
2024-07-11,little,69,77,Hughesland,Melissa Webb
2024-09-08,serious,27,243,East Georgeshire,Sarah Harris
2024-02-27,return,44,74,Christopherberg,Johnny Hughes
2024-08-16,soldier,18,75,Stewartchester,Megan Reynolds
2024-01-02,product,28,62,Lake Manuelbury,Grace King
2024-09-30,offer,47,394,Clayview,Loretta Richardson
2024-07-25,thank,24,178,Port Todd,Angela Lynch
2024-06-09,save,17,35,Riveratown,Jennifer Nelson
2024-01-09,several,19,433,Lake Evelynville,Joshua Lopez
2024-05-27,attorney,81,427,Thomashaven,Nancy Hernandez
2024-10-09,dark,64,228,Lisatown,Scott Anderson
2024-03-06,less,36,82,South Walterbury,Jill Gonzalez
2024-04-06,catch,40,485,South Katherineton,Jackie Martin
2024-06-06,eat,94,333,South Stephenmouth,Michele Thompson
2024-06-21,discuss,100,261,West Scott,Emma Burns
2024-09-26,soldier,38,435,Russoport,Shawn Benton
2024-04-07,power,17,266,North Jennifer,Kent Brooks
2024-08-14,reach,16,19,New Samantha,Jeffrey Bush
2024-07-25,save,43,469,Martinport,Raymond Valencia
2024-04-02,people,17,394,Lewisfort,Diane Perry
2024-05-17,into,30,12,North Stephanieborough,Joshua Hunt
2024-03-10,even,6,249,Cabreramouth,William Smith
2024-05-24,owner,70,119,Gonzalezmouth,Juan Ruiz
2024-04-19,instead,42,455,South Pamela,David Burnett
2024-06-09,recognize,10,265,Lake Erin,Brittany Howe
2024-03-22,citizen,55,41,Port Margarethaven,Regina Rosales
2024-02-05,record,56,265,Sarahmouth,Russell Mitchell
2024-05-23,set,83,110,Jessicahaven,Patrick Myers
2024-03-27,pretty,45,458,Hugheschester,David Preston
2024-01-04,group,44,28,Perezmouth,Nicholas Klein
2024-09-26,travel,1,209,New Patrick,Charles Green
2024-06-14,offer,58,181,Port Joshuaport,Elizabeth Williams PhD
2024-03-02,amount,21,81,New Jasontown,Heather Crosby
2024-03-31,after,3,22,Brownbury,Antonio Poole
2024-09-21,likely,77,183,Lesliefort,Christopher Mayo
2024-08-05,leave,58,184,Hudsonside,Justin Perry
2024-10-07,phone,8,286,Port Wendy,Tonya Hopkins
2024-07-11,level,74,401,Chaseside,Andrew Harris
2024-07-09,under,26,64,South Caitlin,Molly Silva
2024-01-02,continue,81,317,New David,Jenny Hoffman
2024-05-17,begin,25,396,Scottbury,Richard Small
2024-09-01,seven,69,73,East Jamie,Angela Guzman
2024-08-23,such,5,48,Drakehaven,Diana Brown
2024-05-20,claim,72,60,South Alan,Jose Lopez
2024-06-25,care,70,148,New Brenda,Gina Arnold
2024-06-15,with,69,294,North Yolandatown,Gary Hess
2024-04-16,wish,23,265,Brittanyshire,Nicole Higgins
2024-02-16,may,46,107,South Evan,Eugene Lindsey
2024-08-24,father,2,333,West Zachary,Christopher Moore
2024-06-07,machine,78,324,Lake Mark,Karen Owen
2024-10-13,lot,31,66,Barrymouth,Ian Smith
2024-06-03,anyone,38,365,Hunterfort,Allison Simpson
2024-08-12,view,88,414,Tracyborough,Wesley Dillon
2024-06-10,in,7,309,Brownview,William Robinson
2024-08-18,moment,8,39,New Danielport,Candice Soto
2024-06-11,including,40,136,Lake Rachelhaven,Christopher Miller
2024-08-03,blue,83,315,Bradleyville,Jason Jones
2024-10-12,research,81,495,Megantown,Jeffrey Palmer
2024-06-25,organization,58,22,Pattyshire,Justin Dawson
2024-09-19,subject,43,283,West Sharonborough,Walter Ramsey
2024-09-09,difference,40,177,North Jenniferside,Gary Kerr
2024-07-11,hand,86,165,New Carlton,Melissa Clark
2024-03-02,country,10,122,South Johnchester,Stephen Mueller
2024-04-30,better,78,209,East Natalie,Walter Gray
2024-09-22,growth,67,153,North Thomas,Sara Conrad
2024-05-25,them,100,259,South Kevintown,Tracy Ramirez
2024-03-15,small,94,211,Lake Wesleybury,Gwendolyn Murphy
2024-07-14,situation,44,230,West Kaylachester,John Young
2024-06-04,miss,48,197,New Marystad,Joseph Ellison
2024-04-04,get,12,473,South Ronald,David Compton
2024-03-18,piece,100,427,Millershire,Elizabeth Peters MD
2024-03-20,forward,34,47,West Martinbury,Michael Brooks III
2024-07-28,catch,88,424,Wyattstad,Robert Robinson
2024-03-08,public,63,104,Madisonhaven,James Mahoney
2024-10-09,record,40,98,South Virginia,Susan Garcia
2024-02-19,gun,71,175,Sandraborough,Rita Jackson
2024-05-10,enough,11,162,North Williamton,Jeanette Ramos
2024-06-05,line,9,285,Osbornburgh,Ryan Ward
2024-10-13,outside,57,398,Christinaport,Brittany Cohen
2024-04-08,onto,95,471,Marcoborough,Tracy Harris
2024-06-02,white,59,182,Anthonyland,Aaron Smith
2024-01-19,wear,38,369,North Julianshire,Todd Meza
2024-05-19,lose,25,453,West Stephenburgh,Scott Smith
2024-02-11,and,74,81,South Corey,Johnny Ellis
2024-05-05,nor,75,179,Lake Kyle,Yolanda Payne
2024-09-30,significant,29,199,North Debbie,Donna Garcia
2024-06-13,buy,87,474,South Richardfurt,Emma Arnold
2024-01-13,themselves,45,207,Stewartbury,Mr. Sean Kemp MD
2024-06-02,and,66,319,Lake Markview,Corey Morris
2024-03-30,enter,6,213,Angelfurt,Lisa Kelly
2024-07-08,third,36,468,Lake Michaelberg,Anne Cook
2024-06-01,pattern,80,61,East Kelly,Benjamin Cooper
2024-06-15,company,69,188,Pottsborough,Monique Orozco
2024-05-24,decide,30,83,Andrewview,Sarah Anderson DDS
2024-04-22,foot,61,319,Jennatown,Hayley Humphrey
2024-05-29,matter,37,281,East Amy,Steven Oconnor
2024-01-26,move,40,472,North Martin,Hannah Johnson
2024-07-31,hotel,1,110,North Alexandershire,Stephanie Sanchez
2024-07-12,address,39,376,Simpsonborough,Dr. Michelle Simmons MD
2024-07-24,property,12,467,Lawrencefurt,Caitlin Brown
2024-01-20,may,83,193,Burnettstad,Scott Neal
2024-07-17,cut,79,148,North Tinamouth,Joshua Wilson
2024-03-29,word,73,115,North Nicolehaven,Nicholas Miller
2024-06-05,series,75,143,New Robert,Kimberly Jenkins
2024-03-31,city,35,394,South Lawrencetown,Kathleen Schmidt
2024-01-28,pretty,72,112,East Fernando,Meghan Welch
2024-04-02,stand,22,435,Simmonsshire,Rebecca Ball
2024-05-01,loss,1,179,Davidfort,Dr. Laura Morris
2024-02-04,rock,99,83,Lake Omar,Adriana Powers
2024-09-20,land,12,136,South Dustin,Lauren Adams
2024-07-29,fly,51,46,East Austin,Lance Young
2024-07-24,day,12,64,Reynoldsville,Brittany Garrison
2024-03-10,worker,4,135,Murphyport,Dale Alvarado
2024-07-12,push,34,164,Lake Richardborough,Patrick Cherry
2024-07-27,artist,100,210,Port Roberthaven,Linda Farrell
2024-05-21,possible,60,236,Christinatown,Keith Moore
2024-07-25,father,94,323,Saraborough,Reginald Baldwin
2024-02-03,store,78,226,East Nathanfurt,Jennifer Stewart
2024-10-08,of,98,255,North Jasminemouth,Erika Chen
2024-04-07,try,41,430,Lake Matthewfort,Jocelyn Erickson
2024-09-22,exist,85,420,Claytonchester,Eric Simmons
2024-02-20,amount,34,400,Robertside,Paula Holmes
2024-01-18,field,35,371,Yolandatown,Angie Smith
2024-05-22,already,15,395,Sarahtown,Andrew Gonzalez
2024-05-27,avoid,76,410,Schwartzborough,Karen Brown
2024-05-09,too,20,394,Lake William,Kelly Thompson
2024-09-10,dream,96,241,North Brandiview,Jennifer Gray
2024-06-16,couple,59,465,Joshuaport,Kelli Kaufman MD
2024-08-01,together,91,175,Gibsonland,Michelle Tate
2024-02-17,live,26,120,South Tommy,Bryan Adams
2024-07-15,thus,22,101,Jefferyview,Kyle Sanchez
2024-04-14,religious,36,406,Padillahaven,Elizabeth Sims
2024-07-07,safe,35,343,East Mark,Russell Gonzalez
2024-08-03,certain,2,343,East Williamside,Kenneth Martinez
2024-06-03,relationship,49,109,Villegashaven,Laura Higgins
2024-10-04,lawyer,50,132,Youngland,Selena Alexander
2024-04-20,four,38,409,Lake Codyhaven,Steven Carey
2024-01-19,live,92,341,South Troy,Kimberly Burke
2024-08-24,usually,60,357,Nicholasview,Sarah Skinner
2024-09-12,soon,95,486,Port Valerie,Thomas Montoya
2024-05-27,entire,8,83,Lake Daltonshire,Michael Hall
2024-01-21,him,74,97,Benjaminfort,Emily Larsen
2024-05-11,could,89,167,Taylorstad,Jessica Charles
2024-02-01,scientist,75,102,Aprilfort,Nicholas Sandoval
2024-03-22,through,52,154,Fergusonport,Jose Ortiz
2024-01-31,year,9,58,Williamsmouth,Laura Turner
2024-04-27,attorney,97,179,East Timton,Derrick Jones
2024-04-11,who,16,261,Baileyton,James Jones
2024-01-22,rock,66,141,Jeanneville,Sandra Gray
2024-01-23,body,83,375,North Meaganburgh,Eduardo Wall
2024-02-01,speech,64,48,South Ianton,Michael Turner
2024-09-25,project,30,281,North Alexis,Paul Hopkins
2024-09-04,smile,38,365,Hintonmouth,Brianna Johnson
2024-01-01,answer,6,261,Harrismouth,Caroline Lee MD
2024-10-09,those,7,307,West Nicholas,Suzanne Parker
2024-07-06,report,7,431,Port Joel,Amanda Stark
2024-01-24,guy,75,113,Brandihaven,Tara Galloway
2024-05-31,wonder,84,491,East Marcuschester,Kelly Perry
2024-03-19,tough,37,281,Port Patrickport,Daniel Washington
2024-09-19,ahead,14,407,New Jacobberg,Dr. Regina Barnes
2024-04-29,worker,95,33,Port Marcus,Nancy Lee
2024-03-24,theory,61,164,East Dwayneburgh,Katherine Melendez
2024-04-21,such,73,454,South Rodney,Amy Miller
2024-05-18,box,40,134,Davidstad,Margaret Hoffman
2024-05-25,fund,33,438,New Timothybury,Wendy Daniels
2024-04-26,rate,70,165,New Stephaniestad,Dawn Ewing
2024-04-26,item,24,268,Manningborough,James Reed
2024-08-02,free,35,258,Rodriguezstad,Kimberly Solomon
2024-05-20,woman,76,201,Port Crystal,Sarah Hutchinson
2024-02-29,least,33,331,New Elaineside,Heather Munoz
2024-10-12,speech,74,402,Port Susan,Anne Knapp
2024-04-10,tax,31,19,Carrollview,Shannon Burgess
2024-04-06,family,25,365,Rogersstad,Martin Wiggins
2024-01-29,describe,78,358,Lake Christopher,Sean Winters
2024-09-30,avoid,23,273,Tinaberg,Laura Becker
2024-09-05,school,75,288,Hawkinsview,Ronnie Walker
2024-05-15,wait,12,404,South Tina,Patricia Bowen
2024-09-09,two,52,337,New Brittany,Shannon Barrett
2024-10-15,car,7,79,South Andrew,Amy Hanson
2024-06-12,general,68,404,New Christinaland,William Owen
2024-03-25,away,65,470,East Taylor,Tina Howard
2024-01-20,participant,34,447,East Brittneybury,Ashley Jones DDS
2024-10-14,thank,54,32,West Matthew,Dr. Diane Love
2024-09-01,move,23,275,Lawrencemouth,Amy Johnson
2024-01-13,follow,84,194,East Brittany,Timothy Roth
2024-09-29,although,69,48,South Brianaport,Jill Gonzalez
2024-04-27,final,67,49,Christinemouth,Andrew Ross
2024-04-20,national,28,183,Jacksonfort,Thomas Rodriguez
2024-10-09,their,88,73,Port Jermaine,Jorge Thornton
2024-04-03,affect,85,432,Port Crystal,Thomas Patel
2024-09-27,toward,80,437,Lake Jessicafort,Amber Olsen
2024-09-13,human,99,327,Thomasside,Rachel Garcia
2024-04-04,small,31,94,Paulburgh,Holly Schaefer
2024-07-17,behind,91,408,Floresborough,Monica Moore
2024-06-22,personal,13,433,South Tommy,Christina Jones
2024-09-09,yet,65,272,North Jamestown,Erin Johnson
2024-04-21,year,68,295,Seanville,Melinda Bailey
2024-09-05,history,68,403,Leonstad,Elizabeth White
2024-06-28,another,52,200,North Amymouth,Samuel Martinez
2024-07-05,information,87,315,Lake Marissa,Michelle Lawrence
2024-07-27,behind,91,500,Angelmouth,Kevin Mccoy
2024-09-14,able,39,323,West Sandrastad,Denise Mills
2024-02-04,expert,91,304,Walkershire,Pamela Griffin
2024-02-26,begin,85,271,West Roberta,Mark Rush
2024-08-01,lawyer,79,500,West Amanda,Rebecca Baird
2024-08-14,officer,81,183,Lake Christine,Michael Wallace
2024-01-16,plant,54,483,Hollandburgh,John Phillips
2024-08-28,forget,43,108,Jesusland,Jordan Jacobs
2024-08-31,serve,99,347,South Justinbury,Jeffrey Johnson
2024-02-03,allow,38,44,Chadview,Mr. Marc Mcgee
2024-10-09,scientist,1,167,West Jeromefort,Nicholas Guzman
2024-05-01,stuff,80,206,Ballardside,Ashley Edwards
2024-08-21,drive,43,152,New Margaretport,Victoria Russell
2024-07-20,time,82,465,West Ericaland,Daniel Hahn
2024-06-04,activity,66,275,New Gabrielfurt,Kelly Lawson
2024-07-10,total,26,112,Larryfort,Carl Nelson
2024-04-08,yourself,60,410,North Andrea,Cheryl Morgan
2024-10-11,sure,22,111,Heatherstad,Jennifer Sweeney
2024-07-05,point,26,392,Lake Ryan,Victoria Shaffer
2024-01-08,network,2,200,Donbury,John Hodges
2024-09-17,no,83,175,Oliviahaven,Sheri Ward
2024-05-16,hand,71,41,Martinezview,Kimberly Edwards
2024-01-12,light,29,283,Anaborough,Dorothy Simon
2024-06-17,particularly,90,216,Shermanville,Sabrina Hart
2024-04-04,guy,62,461,Hillfurt,Ryan Willis
2024-06-04,case,60,352,East Raymond,Jennifer Young
2024-06-11,institution,97,304,South Marymouth,Danielle Chandler
2024-10-03,head,85,439,Bushhaven,Mark Lee
2024-07-15,plant,63,361,Lake Christopher,Jason Foster
2024-01-22,else,77,369,West Kimberlyberg,Stephanie Jackson
2024-04-29,yes,33,211,Lake Christinaborough,Julie Murphy
2024-04-22,summer,27,239,Joshuafort,Tyler Lee
2024-06-27,industry,80,137,Port Derrick,Wanda Cobb
2024-07-03,design,20,461,East Jamie,William Fisher
2024-04-18,however,67,93,New Jamesside,Kaylee Kim
2024-10-15,part,62,280,South Rebeccaborough,Christopher Howard
2024-09-22,drug,39,161,Lake Tammybury,Kelly Rojas
2024-07-02,role,3,257,South Peterchester,Carolyn Bennett
2024-06-27,let,71,300,East Nancystad,Allison Hall
2024-01-25,cause,45,361,South Laurabury,Sean Sexton
2024-02-10,commercial,80,424,Port Tylerhaven,Jeffrey Matthews
2024-07-14,member,66,38,Port Laurietown,Theresa Howard
2024-03-21,answer,93,408,East Chelseashire,Arthur Jenkins
2024-01-08,nor,90,55,North Adrienne,Sandra Craig
2024-08-03,full,94,308,East Scott,Monica Hill
2024-02-14,seven,23,105,East Marie,Margaret Haynes
2024-04-12,who,4,21,Port Caitlintown,Lindsay Garcia
2024-01-01,clear,100,247,Nicolebury,Beth Rowe
2024-04-24,relationship,62,189,Maciasfort,Dana Wright
2024-07-26,decade,61,324,East Aimeetown,Sharon Vasquez
2024-06-28,south,29,443,West Jacobton,Brenda Burnett
2024-06-18,long,3,26,New Shawnfort,Andrea Parsons
2024-08-30,state,70,39,West Gabrielmouth,James Johnson
2024-06-22,small,54,45,West Stephen,Monica Castro
2024-01-10,south,41,241,West Kevin,Adam Davis
2024-09-09,sound,31,244,West Timothy,Sarah Garrett
2024-09-14,those,63,168,New Benjaminville,Daniel Patel
2024-10-09,area,33,11,Austinport,Zachary Macias
2024-03-10,whose,52,230,Dustinland,Briana Wells
2024-01-13,find,60,120,Patriciaton,Christopher Henry
2024-08-09,TV,62,16,South Jamesberg,Denise Larson
2024-08-09,there,20,419,North Matthewborough,Dr. Shane Oliver
2024-07-12,role,50,262,Lake Michele,Emma Stone
2024-05-20,compare,82,84,Mirandaland,Anthony Freeman
2024-07-30,Republican,10,151,East William,Jacob Wood
2024-03-08,around,15,244,South Nicole,Mason Daniels
2024-04-18,part,38,118,Huntershire,Kim Garcia
2024-09-01,laugh,61,343,East Sabrinastad,Alexander Hensley
2024-04-24,firm,3,135,Lake Sandrahaven,Ian Anderson
2024-02-23,election,88,370,Jenniferfurt,Samantha Alvarez
2024-03-07,wind,100,105,New Brian,Keith Sanchez
2024-06-18,manager,15,261,Waltonfurt,Shannon Cortez
2024-05-08,listen,95,136,Justinburgh,Brian Carter
2024-05-30,few,18,251,Michelleville,Allison Tran
2024-09-21,tend,59,172,Lisaland,Robert Hahn
2024-09-20,front,97,306,Michaelmouth,Adam Mejia
2024-02-09,site,19,133,Charlesburgh,Rachel Sullivan
2024-03-13,eight,38,359,Lake James,Dr. Craig Strong
2024-05-04,study,52,496,East Kaylaport,Joseph Welch
2024-03-23,really,13,206,Lake Danielfurt,Nicole Brennan
2024-07-28,blood,52,417,West Ericburgh,John Cox
2024-06-10,amount,65,172,New Ashley,Christopher Williams
2024-10-11,build,95,24,Mccarthyfort,Michael Neal
2024-09-01,the,19,252,New Richard,Amber Carson
2024-06-20,financial,23,411,Buckhaven,Paul Morris
2024-06-04,around,63,183,West John,Susan Olsen
2024-04-06,inside,96,242,West Nathanstad,Stephanie Watkins
2024-08-24,quality,39,168,West Heatherberg,Tiffany Coleman
2024-09-21,up,45,195,East Joseph,Timothy Frost
2024-03-21,identify,44,303,Wrightland,David Hernandez
2024-07-22,door,2,39,Johnstad,Rhonda Leonard
2024-05-24,compare,96,426,Kimberlyton,Wendy Richard
2024-09-26,race,57,59,Nicholasburgh,Ryan Sparks
2024-03-11,subject,68,380,Williamsville,Lisa Davis
2024-01-25,writer,10,54,Ericfort,Bradley Carlson
2024-04-04,little,21,256,South Meganstad,Shannon King
2024-08-16,water,44,237,West Ashley,Kelly Mitchell
2024-05-19,me,42,14,Elizabethchester,Vanessa Sawyer
2024-03-24,including,77,478,South Keithfort,Joseph Thomas
2024-06-18,investment,69,21,Jeromemouth,Jerome Cole
2024-09-24,effect,3,101,East Cassandra,Jacob Perry
2024-05-18,small,37,282,South Daisy,Jennifer Porter
2024-04-21,sell,11,126,Paigeberg,Megan Hall
2024-09-30,I,48,297,West Tara,Michael Walton
2024-10-13,yet,92,161,East Austinview,Kenneth Cobb
2024-04-30,current,61,164,South Austin,Christopher Ward
2024-07-27,window,26,83,Elizabethton,Aaron Warren
2024-04-21,cultural,20,167,Davidchester,Victoria Callahan
2024-08-29,anything,37,139,Lake Victoriashire,Natalie Ryan
2024-06-06,film,46,318,Thomashaven,Cynthia Cohen
2024-06-24,history,55,41,Annshire,Scott Vazquez
2024-05-23,assume,15,363,West Stacyside,Luke Rivera
2024-08-28,event,76,356,East Brianmouth,Anthony Delgado
2024-01-22,sort,43,128,New Randy,Steven Bowen
2024-03-25,material,36,410,Deanhaven,Michael Thompson
2024-09-25,direction,98,122,Reyeston,Joshua Mcdaniel
2024-03-19,those,30,90,Boydview,Amanda Melton
2024-07-03,lose,29,488,Michaelbury,Joseph Rhodes
2024-03-03,together,11,77,West Teresaborough,Jerry Padilla
2024-10-11,information,84,227,Schroederburgh,Kayla Lopez
2024-01-12,case,82,416,Jamesbury,Rebekah Baker
2024-07-04,now,55,421,West Timothyborough,Shelley Hayes
2024-05-01,still,97,57,East Robertberg,Benjamin Fields
